ts,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,taker_buy_base,taker_buy_quote,ignore
2025-01-16 12:00:00,4.9e-06,4.9e-06,4.65e-06,4.76e-06,8395.60000000,1737043199999,0.03996446,19,6315.70000000,0.03001643,0
2025-01-16 16:00:00,4.76e-06,4.85e-06,4.76e-06,4.85e-06,1077.50000000,1737057599999,0.00520788,2,877.70000000,0.00425684,0
2025-01-16 20:00:00,4.78e-06,4.78e-06,4.75e-06,4.75e-06,1760.90000000,1737071999999,0.00839060,2,0.00000000,0.00000000,0
2025-01-17 00:00:00,4.81e-06,4.81e-06,4.73e-06,4.75e-06,7096.40000000,1737086399999,0.03362795,5,2979.40000000,0.01415455,0
2025-01-17 04:00:00,4.82e-06,4.89e-06,4.82e-06,4.89e-06,2623.90000000,1737100799999,0.01273393,3,2623.90000000,0.01273393,0
2025-01-17 08:00:00,4.92e-06,5.06e-06,4.92e-06,4.99e-06,4945.30000000,1737115199999,0.02464836,6,3764.40000000,0.01875567,0
2025-01-17 12:00:00,4.96e-06,4.96e-06,4.89e-06,4.89e-06,2556.40000000,1737129599999,0.01258557,3,0.00000000,0.00000000,0
2025-01-17 16:00:00,4.85e-06,4.85e-06,4.8e-06,4.8e-06,1972.30000000,1737143999999,0.00952769,3,0.00000000,0.00000000,0
2025-01-17 20:00:00,4.81e-06,4.88e-06,4.8e-06,4.88e-06,3563.50000000,1737158399999,0.01715255,23,155.10000000,0.00074758,0
2025-01-18 00:00:00,4.89e-06,4.92e-06,4.82e-06,4.82e-06,2242.40000000,1737172799999,0.01088769,4,1019.30000000,0.00498883,0
2025-01-18 04:00:00,4.78e-06,4.78e-06,4.65e-06,4.65e-06,4763.70000000,1737187199999,0.02245367,7,0.00000000,0.00000000,0
2025-01-18 08:00:00,4.62e-06,4.62e-06,4.62e-06,4.62e-06,908.10000000,1737201599999,0.00419542,1,0.00000000,0.00000000,0
2025-01-18 12:00:00,4.62e-06,4.62e-06,4.58e-06,4.58e-06,1281.70000000,1737215999999,0.00588757,3,0.00000000,0.00000000,0
2025-01-18 16:00:00,4.55e-06,4.55e-06,4.55e-06,4.55e-06,135.80000000,1737230399999,0.00061789,1,135.80000000,0.00061789,0
2025-01-18 20:00:00,4.6e-06,4.6e-06,4.58e-06,4.58e-06,1179.50000000,1737244799999,0.00542363,3,1076.40000000,0.00495144,0
2025-01-19 00:00:00,4.59e-06,4.69e-06,4.59e-06,4.69e-06,4460.40000000,1737259199999,0.02071084,5,3357.20000000,0.01564716,0
2025-01-19 04:00:00,4.63e-06,4.63e-06,4.52e-06,4.52e-06,17919.70000000,1737273599999,0.08141624,13,0.00000000,0.00000000,0
